Western Champion,Eastern Champion,Western Wins,Western Loss,Western winrate,Eastern Win,Eastern Loss,Eastern winrate,NBA Champion,NBA Vice-Champion,MVP Team,Western MVP,Eastern MVP,Winrate ratio,Western victory
Minneapolis Lakers,Syracuse Nationals,51,17,"0,75",51,13,"0,796875",Minneapolis Lakers,Syracuse Nationals,N/A,FAUX,FAUX,"-0,046875",VRAI
Rochester Royals,New York Knicks,41,27,"0,602941176470588",36,30,"0,545454545454545",Rochester Royals,New York Knicks,N/A,FAUX,FAUX,"0,057486631016043",VRAI
Minneapolis Lakers,New York Knicks,40,26,"0,606060606060606",37,29,"0,560606060606061",Minneapolis Lakers,New York Knicks,N/A,FAUX,FAUX,"0,045454545454546",VRAI
Minneapolis Lakers,New York Knicks,48,22,"0,685714285714286",47,23,"0,671428571428571",Minneapolis Lakers,New York Knicks,N/A,FAUX,FAUX,"0,014285714285714",VRAI
Minneapolis Lakers,Syracuse Nationals,46,36,"0,560975609756098",42,30,"0,583333333333333",Minneapolis Lakers,Syracuse Nationals,N/A,FAUX,FAUX,"-0,022357723577236",VRAI
Fort Wayne Pistons,Syracuse Nationals,43,29,"0,597222222222222",43,29,"0,597222222222222",Syracuse Nationals,Fort Wayne Pistons,N/A,FAUX,FAUX,0,FAUX
Fort Wayne Pistons,Philadelphia Warriors,37,35,"0,513888888888889",45,27,"0,625",Philadelphia Warriors,Fort Wayne Pistons,Saint Louis Hawks,FAUX,FAUX,"-0,111111111111111",FAUX
St. Louis Hawks,Boston Celtics,34,38,"0,472222222222222",44,28,"0,611111111111111",Boston Celtics,St. Louis Hawks,Boston Celtics,FAUX,VRAI,"-0,138888888888889",FAUX
St. Louis Hawks,Boston Celtics,41,38,"0,518987341772152",49,23,"0,680555555555556",St. Louis Hawks,Boston Celtics,Boston Celtics,FAUX,VRAI,"-0,161568213783404",VRAI
Minneapolis Lakers,Boston Celtics,33,39,"0,458333333333333",52,20,"0,722222222222222",Boston Celtics,Minneapolis Lakers,Saint Louis Hawks,FAUX,FAUX,"-0,263888888888889",FAUX
St. Louis Hawks,Boston Celtics,46,29,"0,613333333333333",59,16,"0,786666666666667",Boston Celtics,St. Louis Hawks,Philadelphia Warriors,FAUX,FAUX,"-0,173333333333333",FAUX
St. Louis Hawks,Boston Celtics,51,28,"0,645569620253165",57,22,"0,721518987341772",Boston Celtics,St. Louis Hawks,Boston Celtics,FAUX,VRAI,"-0,075949367088608",FAUX
Los Angeles Lakers,Boston Celtics,54,26,"0,675",60,20,"0,75",Boston Celtics,Los Angeles Lakers,Boston Celtics,FAUX,VRAI,"-0,075",FAUX
Los Angeles Lakers,Boston Celtics,53,27,"0,6625",58,22,"0,725",Boston Celtics,Los Angeles Lakers,Boston Celtics,FAUX,VRAI,"-0,0625",FAUX
San Francisco Warriors,Boston Celtics,48,32,"0,6",59,21,"0,7375",Boston Celtics,San Francisco Warriors,Cincinnati Royals,FAUX,FAUX,"-0,1375",FAUX
Los Angeles Lakers,Boston Celtics,49,31,"0,6125",62,18,"0,775",Boston Celtics,Los Angeles Lakers,Boston Celtics,FAUX,VRAI,"-0,1625",FAUX
Los Angeles Lakers,Boston Celtics,45,35,"0,5625",54,26,"0,675",Boston Celtics,Los Angeles Lakers,Philadelphia 76ers,FAUX,FAUX,"-0,1125",FAUX
